ID	X	Y	Z
382	432500	390666.6667	1752
383	432666.6667	390666.6667	1751
384	432833.3333	390666.6667	1726
385	433000	390666.6667	1708
386	433166.6667	390666.6667	1690
387	433333.3333	390666.6667	1703
388	433500	390666.6667	1745
389	433666.6667	390666.6667	1765
390	433833.3333	390666.6667	1805
391	434000	390666.6667	1839
392	434166.6667	390666.6667	1871
393	434333.3333	390666.6667	1894
394	434500	390666.6667	1907
395	434666.6667	390666.6667	1915
396	434833.3333	390666.6667	1893
397	435000	390666.6667	1864
398	435166.6667	390666.6667	1872
399	435333.3333	390666.6667	1983
400	435500	390666.6667	2127
401	435666.6667	390666.6667	2218
402	435833.3333	390666.6667	2370
403	436000	390666.6667	2458
404	436166.6667	390666.6667	2536
405	436333.3333	390666.6667	2579
406	436500	390666.6667	2583
407	436666.6667	390666.6667	2520
408	436833.3333	390666.6667	2450
409	437000	390666.6667	2319
410	437166.6667	390666.6667	2146
411	437333.3333	390666.6667	1993
412	437500	390666.6667	1896
413	437666.6667	390666.6667	1943
414	437833.3333	390666.6667	2056
415	438000	390666.6667	2033
416	438166.6667	390666.6667	2082
417	421000	390500	1579
418	421166.6667	390500	1652
419	421333.3333	390500	1660
420	421500	390500	1652
421	421666.6667	390500	1675
422	421833.3333	390500	1701
423	422000	390500	1720
424	422166.6667	390500	1741
425	422333.3333	390500	1612
426	422500	390500	1607
427	422666.6667	390500	1634
428	422833.3333	390500	1698
429	423000	390500	1644
430	423166.6667	390500	1569
431	423333.3333	390500	1570
432	423500	390500	1571
433	423666.6667	390500	1568
434	423833.3333	390500	1575
435	424000	390500	1579
436	424166.6667	390500	1588
437	424333.3333	390500	1599
438	424500	390500	1607
439	424666.6667	390500	1613
440	424833.3333	390500	1622
441	425000	390500	1630
442	425166.6667	390500	1642
443	425333.3333	390500	1647
444	425500	390500	1654
445	425666.6667	390500	1674
446	425833.3333	390500	1730
447	426000	390500	1757
448	426166.6667	390500	1762
449	426333.3333	390500	1769
450	426500	390500	1774
451	426666.6667	390500	1789
452	426833.3333	390500	1812
453	427000	390500	1824
454	427166.6667	390500	1827
455	427333.3333	390500	1833
456	427500	390500	1820
457	427666.6667	390500	1853
458	427833.3333	390500	1928
459	428000	390500	2003
460	428166.6667	390500	1905
461	428333.3333	390500	1853
462	428500	390500	1810
463	428666.6667	390500	1789
464	428833.3333	390500	1783
465	429000	390500	1783
466	429166.6667	390500	1786
467	429333.3333	390500	1788
468	429500	390500	1800
469	429666.6667	390500	1811
470	429833.3333	390500	1945
471	430000	390500	2054
472	430166.6667	390500	2154
473	430333.3333	390500	2239
474	430500	390500	2285
475	430666.6667	390500	2298
476	430833.3333	390500	2199
477	431000	390500	2152
478	431166.6667	390500	2087
479	431333.3333	390500	2028
480	431500	390500	2005
481	431666.6667	390500	2051
482	431833.3333	390500	2060
483	432000	390500	1993
484	432166.6667	390500	1830
485	432333.3333	390500	1794
486	432500	390500	1815
487	432666.6667	390500	1827
488	432833.3333	390500	1748
489	433000	390500	1696
490	433166.6667	390500	1678
491	433333.3333	390500	1678
492	433500	390500	1767
493	433666.6667	390500	1771
494	433833.3333	390500	1776
495	434000	390500	1824
496	434166.6667	390500	1835
497	434333.3333	390500	1841
498	434500	390500	1815
499	434666.6667	390500	1835
500	434833.3333	390500	1830
501	435000	390500	1862
502	435166.6667	390500	1909
503	435333.3333	390500	1991
504	435500	390500	2053
505	435666.6667	390500	2134
506	435833.3333	390500	2276
507	436000	390500	2474
508	436166.6667	390500	2678
509	436333.3333	390500	2710
510	436500	390500	2751
511	436666.6667	390500	2692
512	436833.3333	390500	2617
513	437000	390500	2424
514	437166.6667	390500	2224
515	437333.3333	390500	2036
516	437500	390500	1894
517	437666.6667	390500	1862
518	437833.3333	390500	1983
519	438000	390500	2064
520	438166.6667	390500	2149
521	421000	390333.3333	1572
522	421166.6667	390333.3333	1675
523	421333.3333	390333.3333	1660
524	421500	390333.3333	1663
525	421666.6667	390333.3333	1739
526	421833.3333	390333.3333	1855
527	422000	390333.3333	1871
528	422166.6667	390333.3333	1890
529	422333.3333	390333.3333	1680
530	422500	390333.3333	1632
